# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# Si Z=14  Koga1999  E=-288.854362454 Ha  T_KS=288.85433432 Ha
1.425542632364592214e-06 1.765546325071205729e+03 -4.943716249101349240e+04 2.444033035162871361e+09 -6.935768422048216248e+10 1.783145012623528601e+05 7.405148694232464768e+05 1.402023956341996447e-01 -7.024607514752038696e+03 1.730365978264760051e+05
1.431796182396142397e-06 1.765546015913463407e+03 -4.943715376462865970e+04 2.444032172347537518e+09 -6.905473752144702148e+10 1.783144701664836612e+05 7.405146533089398872e+05 1.402024116060529291e-01 -6.993926846641106749e+03 1.730365670392224856e+05
1.438077165411532767e-06 1.765545705399567851e+03 -4.943714499996461382e+04 2.444031305747526169e+09 -6.875311398025291443e+10 1.783144389342090581e+05 7.405144362466505263e+05 1.402024276479730269e-01 -6.963380180209542232e+03 1.730365361169174139e+05
1.444385701753384139e-06 1.765545393523569373e+03 -4.943713619685343292e+04 2.444030435346235752e+09 -6.845280781784147644e+10 1.783144075649308215e+05 7.405142182322192239e+05 1.402024437602674145e-01 -6.932966930188154038e+03 1.730365050589684106e+05
1.450721912292235483e-06 1.765545080279495778e+03 -4.943712735512647487e+04 2.444029561126994610e+09 -6.815381328039506531e+10 1.783143760580477538e+05 7.405139992614719085e+05 1.402024599432444008e-01 -6.902686513863961409e+03 1.730364738647802442e+05
1.457085918428858018e-06 1.765544765661341899e+03 -4.943711847461431171e+04 2.444028683073051453e+09 -6.785612463922653198e+10 1.783143444129563868e+05 7.405137793302109931e+05 1.402024761972145706e-01 -6.872538351069093551e+03 1.730364425337554130e+05
1.463477842096582859e-06 1.765544449663083242e+03 -4.943710955514688976e+04 2.444027801167595863e+09 -6.755973619066961670e+10 1.783143126290506043e+05 7.405135584342252696e+05 1.402024925224893692e-01 -6.842521864169602850e+03 1.730364110652939708e+05
1.469897805763636074e-06 1.765544132278664165e+03 -4.943710059655328223e+04 2.444026915393728733e+09 -6.726464225596943665e+10 1.783142807057212922e+05 7.405133365692819934e+05 1.402025089193816298e-01 -6.812636478054457257e+03 1.730363794587928569e+05
1.476345932435485389e-06 1.765543813502006742e+03 -4.943709159866186383e+04 2.444026025734483242e+09 -6.697083718117379761e+10 1.783142486423569499e+05 7.405131137311328202e+05 1.402025253882050182e-01 -6.782881620124460824e+03 1.730363477136463334e+05
1.482822345657197692e-06 1.765543493327001897e+03 -4.943708256130025984e+04 2.444025132172818184e+09 -6.667831533702487946e+10 1.783142164383433410e+05 7.405128899155076360e+05 1.402025419292755870e-01 -6.753256720281349772e+03 1.730363158292465087e+05
1.489327169515805435e-06 1.765543171747517817e+03 -4.943707348429538979e+04 2.444024234691622257e+09 -6.638707111885140228e+10 1.783141840930636390e+05 7.405126651181203779e+05 1.402025585429101662e-01 -6.723761210916820346e+03 1.730362838049826969e+05
1.495860528642684249e-06 1.765542848757390857e+03 -4.943706436747325643e+04 2.444023333273694038e+09 -6.609709894646099854e+10 1.783141516058978741e+05 7.405124393346627476e+05 1.402025752294271399e-01 -6.694394526901674908e+03 1.730362516402409528e+05
1.502422548215940734e-06 1.765542524350437589e+03 -4.943705521065931680e+04 2.444022427901777744e+09 -6.580839326403377533e+10 1.783141189762240392e+05 7.405122125608127099e+05 1.402025919891460026e-01 -6.665156105574974390e+03 1.730362193344054685e+05
1.509013353962810834e-06 1.765542198520441389e+03 -4.943704601367814030e+04 2.444021518558529854e+09 -6.552094854001545715e+10 1.783140862034168385e+05 7.405119847922247136e+05 1.402026088223881084e-01 -6.636045386733295345e+03 1.730361868868574384e+05
1.515633072162070066e-06 1.765541871261157667e+03 -4.943703677635343047e+04 2.444020605226521492e+09 -6.523475926701133728e+10 1.783140532868483861e+05 7.405117560245343484e+05 1.402026257294761435e-01 -6.607061812619961529e+03 1.730361542969747388e+05
1.522281829646450530e-06 1.765541542566319777e+03 -4.943702749850830878e+04 2.444019687888266563e+09 -6.494981996168122101e+10 1.783140202258882055e+05 7.405115262533607893e+05 1.402026427107338213e-01 -6.578204827914362795e+03 1.730361215641334129e+05
1.528959753805072952e-06 1.765541212429631969e+03 -4.943701817996505997e+04 2.444018766526196003e+09 -6.466612516463406372e+10 1.783139870199029974e+05 7.405112954743038863e+05 1.402026597664864094e-01 -6.549473879721325829e+03 1.730360886877064186e+05
1.535666972585886562e-06 1.765540880844766207e+03 -4.943700882054507383e+04 2.444017841122651577e+09 -6.438366944032319641e+10 1.783139536682563776e+05 7.405110636829402065e+05 1.402026768970609794e-01 -6.520868417560530361e+03 1.730360556670635997e+05
1.542403614498121469e-06 1.765540547805371716e+03 -4.943699942006912897e+04 2.444016911659915447e+09 -6.410244737694259644e+10 1.783139201703096332e+05 7.405108308748308336e+05 1.402026941027859352e-01 -6.492387893355933556e+03 1.730360225015727920e+05
1.549169808614749288e-06 1.765540213305069301e+03 -4.943698997835710907e+04 2.444015978120181084e+09 -6.382245358632288361e+10 1.783138865254210250e+05 7.405105970455165952e+05 1.402027113839905414e-01 -6.464031761425279001e+03 1.730359891905983386e+05
1.555965684574957961e-06 1.765539877337450434e+03 -4.943698049522812653e+04 2.444015040485566139e+09 -6.354368270382818604e+10 1.783138527329456992e+05 7.405103621905184118e+05 1.402027287410059775e-01 -6.435799478469655696e+03 1.730359557335020800e+05
1.562791372586634407e-06 1.765539539896077486e+03 -4.943697097050052980e+04 2.444014098738111973e+09 -6.326612938825340271e+10 1.783138187922366778e+05 7.405101263053362491e+05 1.402027461741652270e-01 -6.407690503563087987e+03 1.730359221296433534e+05
1.569647003428859462e-06 1.765539200974486903e+03 -4.943696140399181604e+04 2.444013152859776497e+09 -6.298978832172174072e+10 1.783137847026435193e+05 7.405098893854522612e+05 1.402027636838019953e-01 -6.379704298142140942e+03 1.730358883783780329e+05
1.576532708454414038e-06 1.765538860566186713e+03 -4.943695179551874753e+04 2.444012202832444191e+09 -6.271465420958300018e+10 1.783137504635133082e+05 7.405096514263286954e+05 1.402027812702516807e-01 -6.351840325995634885e+03 1.730358544790596934e+05
1.583448619592295227e-06 1.765538518664653566e+03 -4.943694214489724254e+04 2.444011248637917042e+09 -6.244072178031197357e+10 1.783137160741899570e+05 7.405094124234057963e+05 1.402027989338517355e-01 -6.324098053254369916e+03 1.730358204310390283e+05
