# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# Xe Z=54  Koga1999  E=-7232.138355835 Ha  T_KS=4821.42602443 Ha
1.400800373572635327e-06 1.112071054079420719e+05 -1.201293876113390177e+07 1.443106976787533125e+14 -1.715023423651437305e+13 1.749932008684332669e+08 7.383962503775801659e+08 1.318067860298152150e-01 -1.741974674276640371e+03 1.622093942978924513e+08
1.406945384617180518e-06 1.112070315883252188e+05 -1.201293076403980330e+07 1.443105055416139375e+14 -1.707531137878996484e+13 1.749930897430624366e+08 7.383954334616101980e+08 1.318068438571807222e-01 -1.734366567525406026e+03 1.622092860052160621e+08
1.413117352508289986e-06 1.112069574449270440e+05 -1.201292273186948523e+07 1.443103125618666250e+14 -1.700071575609144922e+13 1.749929781302807033e+08 7.383946129629169703e+08 1.318069019382465401e-01 -1.726791690137768455e+03 1.622091772375542819e+08
1.419316395499872873e-06 1.112068829763275862e+05 -1.201291466446910240e+07 1.443101187358168125e+14 -1.692644593917870117e+13 1.749928660279502571e+08 7.383937888657910824e+08 1.318069602741254176e-01 -1.719249896980297081e+03 1.622090679928236306e+08
1.425542632364592214e-06 1.112068081811006850e+05 -1.201290656168416329e+07 1.443099240597544375e+14 -1.685250050505402734e+13 1.749927534339244664e+08 7.383929611544551849e+08 1.318070188659356545e-01 -1.711741043553453892e+03 1.622089582689321637e+08
1.431796182396142397e-06 1.112067330578139081e+05 -1.201289842335949652e+07 1.443097285299530625e+14 -1.677887803693483984e+13 1.749926403460468650e+08 7.383921298130624294e+08 1.318070777148004358e-01 -1.704264985988819035e+03 1.622088480637786984e+08
1.438077165411532767e-06 1.112066576050285657e+05 -1.201289024933923967e+07 1.443095321426697812e+14 -1.670557712422652539e+13 1.749925267621518373e+08 7.383912948256963491e+08 1.318071368218474981e-01 -1.696821581046335950e+03 1.622087373752526641e+08
1.444385701753384139e-06 1.112065818212997692e+05 -1.201288203946685232e+07 1.443093348941452812e+14 -1.663259636249542773e+13 1.749924126800638735e+08 7.383904561763726473e+08 1.318071961882093246e-01 -1.689410686111564928e+03 1.622086262012340128e+08
1.450721912292235483e-06 1.112065057051761250e+05 -1.201287379358510673e+07 1.443091367806038438e+14 -1.655993435344192383e+13 1.749922980975982845e+08 7.383896138490344286e+08 1.318072558150238660e-01 -1.682032159192956215e+03 1.622085145395937860e+08
1.457085918428858018e-06 1.112064292551999824e+05 -1.201286551153608225e+07 1.443089377982530625e+14 -1.648758970487363477e+13 1.749921830125608742e+08 7.383887678275558949e+08 1.318073157034337917e-01 -1.674685858919121983e+03 1.622084023881933391e+08
1.463477842096582859e-06 1.112063524699071568e+05 -1.201285719316118397e+07 1.443087379432844062e+14 -1.641556103067878320e+13 1.749920674227473736e+08 7.383879180957388878e+08 1.318073758545874052e-01 -1.667371644536139684e+03 1.622082897448853850e+08
1.469897805763636074e-06 1.112062753478273080e+05 -1.201284883830109611e+07 1.443085372118720000e+14 -1.634384695079958203e+13 1.749919513259443045e+08 7.383870646373175383e+08 1.318074362696368129e-01 -1.660089375904836515e+03 1.622081766075121760e+08
1.476345932435485389e-06 1.112061978874833148e+05 -1.201284044679581746e+07 1.443083356001735312e+14 -1.627244609120583203e+13 1.749918347199280560e+08 7.383862074359506369e+08 1.318074969497404769e-01 -1.652838913498124612e+03 1.622080629739073217e+08
1.482822345657197692e-06 1.112061200873918569e+05 -1.201283201848464645e+07 1.443081331043299062e+14 -1.620135708386858594e+13 1.749917176024657786e+08 7.383853464752283096e+08 1.318075578960611616e-01 -1.645620118398312115e+03 1.622079488418945372e+08
1.489327169515805435e-06 1.112060419460630947e+05 -1.201282355320618302e+07 1.443079297204652188e+14 -1.613057856673394141e+13 1.749915999713144302e+08 7.383844817386689186e+08 1.318076191097667660e-01 -1.638432852294448594e+03 1.622078342092882097e+08
1.495860528642684249e-06 1.112059634620004654e+05 -1.201281505079829693e+07 1.443077254446860938e+14 -1.606010918369691406e+13 1.749914818242212534e+08 7.383836132097164392e+08 1.318076805920306849e-01 -1.631276977479676361e+03 1.622077190738928318e+08
1.502422548215940734e-06 1.112058846337009891e+05 -1.201280651109817252e+07 1.443075202730826562e+14 -1.598994758457550586e+13 1.749913631589238048e+08 7.383827408717435598e+08 1.318077423440312257e-01 -1.624152356848588397e+03 1.622076034335036874e+08
1.509013353962810834e-06 1.112058054596550646e+05 -1.201279793394226208e+07 1.443073142017274688e+14 -1.592009242508479492e+13 1.749912439731492996e+08 7.383818647080502510e+08 1.318078043669517196e-01 -1.617058853894603089e+03 1.622074872859059870e+08
1.515633072162070066e-06 1.112057259383465134e+05 -1.201278931916631386e+07 1.443071072266762812e+14 -1.585054236681119531e+13 1.749911242646154761e+08 7.383809847018634081e+08 1.318078666619810491e-01 -1.609996332707346937e+03 1.622073706288755834e+08
1.522281829646450530e-06 1.112056460682523903e+05 -1.201278066660535894e+07 1.443068993439675000e+14 -1.578129607718682422e+13 1.749910040310297608e+08 7.383801008363350630e+08 1.318079292303134253e-01 -1.602964657970056578e+03 1.622072534601786733e+08
1.528959753805072952e-06 1.112055658478431724e+05 -1.201277197609366663e+07 1.443066905496213438e+14 -1.571235222946391016e+13 1.749908832700892985e+08 7.383792130945446491e+08 1.318079920731473065e-01 -1.595963694956975132e+03 1.622071357775706351e+08
1.535666972585886562e-06 1.112054852755825996e+05 -1.201276324746483937e+07 1.443064808396420000e+14 -1.564370950268949609e+13 1.749907619794819355e+08 7.383783214594972134e+08 1.318080551916878396e-01 -1.588993309530784927e+03 1.622070175787985623e+08
1.542403614498121469e-06 1.112054043499277614e+05 -1.201275448055171035e+07 1.443062702100151875e+14 -1.557536658167999023e+13 1.749906401568846405e+08 7.383774259141240120e+08 1.318081185871443350e-01 -1.582053368140022030e+03 1.622068988615984917e+08
1.549169808614749288e-06 1.112053230693288933e+05 -1.201274567518638819e+07 1.443060586567092812e+14 -1.550732215699605469e+13 1.749905177999642491e+08 7.383765264412806034e+08 1.318081822607317100e-01 -1.575143737816529438e+03 1.622067796236970127e+08
1.555965684574957961e-06 1.112052414322294208e+05 -1.201273683120026067e+07 1.443058461756752812e+14 -1.543957492491750391e+13 1.749903949063781500e+08 7.383756230237474442e+08 1.318082462136708211e-01 -1.568264286172907077e+03 1.622066598628109694e+08
1.562791372586634407e-06 1.112051594370659150e+05 -1.201272794842393510e+07 1.443056327628455312e+14 -1.537212358741827148e+13 1.749902714737722278e+08 7.383747156442288160e+08 1.318083104471869105e-01 -1.561414881399970227e+03 1.622065395766462684e+08
1.569647003428859462e-06 1.112050770822682389e+05 -1.201271902668732964e+07 1.443054184141357812e+14 -1.530496685214164453e+13 1.749901474997830093e+08 7.383738042853553295e+08 1.318083749625113543e-01 -1.554595392264229531e+03 1.622064187628999650e+08
1.576532708454414038e-06 1.112049943662593432e+05 -1.201271006581958011e+07 1.443052031254430625e+14 -1.523810343237539648e+13 1.749900229820362329e+08 7.383728889296805859e+08 1.318084397608803027e-01 -1.547805688105370791e+03 1.622062974192580879e+08
1.583448619592295227e-06 1.112049112874551793e+05 -1.201270106564910151e+07 1.443049868926470625e+14 -1.517153204702721484e+13 1.749898979181475937e+08 7.383719695596811771e+08 1.318085048435360951e-01 -1.541045638833760904e+03 1.622061755433973372e+08
1.590394869350244705e-06 1.112048278442646697e+05 -1.201269202600350417e+07 1.443047697116081875e+14 -1.510525142060005078e+13 1.749897723057217002e+08 7.383710461577558517e+08 1.318085702117257063e-01 -1.534315114927944705e+03 1.622060531329829991e+08
1.597371590817287069e-06 1.112047440350900142e+05 -1.201268294670971669e+07 1.443045515781704375e+14 -1.503926028316784766e+13 1.749896461423534155e+08 7.383701187062289715e+08 1.318086358667024116e-01 -1.527613987432171825e+03 1.622059301856717169e+08
1.604378917666280047e-06 1.112046598583262094e+05 -1.201267382759384625e+07 1.443043324881581875e+14 -1.497355737035102539e+13 1.749895194256263375e+08 7.383691871873455048e+08 1.318087018097242047e-01 -1.520942127953918998e+03 1.622058066991085112e+08
