# r   n   gradn   gradn2   lapl   tau_KS   tauTF   s2   q   tau_vW
# H Z=1  Koga1999  E=-0.50000000 Ha  T_KS=0.5000000000 Ha
# Note: tau_KS = tau_vW exactly (single orbital) -> alpha_bar = 0 everywhere
2.131624509624376279e-06 3.183085291523732874e-01 -6.366170583047465747e-01 4.052812789245890945e-01 -5.973056684250669787e+05 1.591542645761866437e-01 4.260713979596251755e-01 2.241233727563212708e-01 -1.051418268074523658e+05 1.591542645761866437e-01
2.149626693066426740e-06 3.183085176918764025e-01 -6.366170353837528051e-01 4.052812497407983772e-01 -5.923034626878891140e+05 1.591542588459382013e-01 4.260713723922409657e-01 2.241233781359347477e-01 -1.042613106160442258e+05 1.591542588459382013e-01
2.167780910136922683e-06 3.183085061345927169e-01 -6.366170122691854338e-01 4.052812203105441990e-01 -5.873431482361092931e+05 1.591542530672963585e-01 4.260713466089343648e-01 2.241233835609808267e-01 -1.033881683626563026e+05 1.591542530672963585e-01
2.186088444803681089e-06 3.183084944797049953e-01 -6.366169889594099907e-01 4.052811906317455581e-01 -5.824243742485332768e+05 1.591542472398524977e-01 4.260713206078821647e-01 2.241233890318429234e-01 -1.025223382937825954e+05 1.591542472398524977e-01
2.204550591877997564e-06 3.183084827263886751e-01 -6.366169654527773503e-01 4.052811607023026896e-01 -5.775467928419403033e+05 1.591542413631943376e-01 4.260712943872449476e-01 2.241233945489083945e-01 -1.016637591730757267e+05 1.591542413631943376e-01
2.223168657106222028e-06 3.183084708738126989e-01 -6.366169417476253978e-01 4.052811305200994529e-01 -5.727100590464798734e+05 1.591542354369063494e-01 4.260712679451685858e-01 2.241234001125670949e-01 -1.008123702770158998e+05 1.591542354369063494e-01
2.241943957262109029e-06 3.183084589211387927e-01 -6.366169178422775854e-01 4.052811000830012222e-01 -5.679138307812730782e+05 1.591542294605693963e-01 4.260712412797830195e-01 2.241234057232125987e-01 -9.996811139061624999e+04 1.591542294605693963e-01
2.260877820239946897e-06 3.183084468675215217e-01 -6.366168937350430435e-01 4.052810693888551086e-01 -5.631577688302183524e+05 1.591542234337607609e-01 4.260712143892021464e-01 2.241234113812418938e-01 -9.913092280316411052e+04 1.591542234337607609e-01
2.279971585148474214e-06 3.183084347121084567e-01 -6.366168694242169135e-01 4.052810384354904594e-01 -5.584415368180010701e+05 1.591542173560542284e-01 4.260711872715243764e-01 2.241234170870548825e-01 -9.830074530399782816e+04 1.591542173560542284e-01
2.299226602405588688e-06 3.183084224540398410e-01 -6.366168449080796821e-01 4.052810072207179704e-01 -5.537648011863024440e+05 1.591542112270199205e-01 4.260711599248316328e-01 2.241234228410553531e-01 -9.747752017831930425e+04 1.591542112270199205e-01
